Date,Open
13-06-2018,101.720001
14-06-2018,101.650002
15-06-2018,101.510002
,100.76
,100.76
18-06-2018,100.010002
19-06-2018,99.650002
20-06-2018,101.370003
21-06-2018,102.080002
22-06-2018,100.410004
,100.2
,100.2
25-06-2018,100
26-06-2018,98.82
27-06-2018,99.580002
28-06-2018,97.379997
29-06-2018,98.93
,98.51
,98.51
02-07-2018,98.099998
03-07-2018,100.480003
,99.99
05-07-2018,99.5
06-07-2018,99.889999
,100.77
,100.77
09-07-2018,101.650002
10-07-2018,102
11-07-2018,101.150002
12-07-2018,102.769997
13-07-2018,104.37
