MEDIA TYPE,DATE,MENTIONS
TV,2018-06-12 00:00:00,287
TV,2018-06-13 00:00:00,386
TV,2018-06-14 00:00:00,277
TV,2018-06-15 00:00:00,281
TV,2018-06-16 00:00:00,567
TV,2018-06-17 00:00:00,169
TV,2018-06-18 00:00:00,208
TV,2018-06-19 00:00:00,398
TV,2018-06-20 00:00:00,398
TV,2018-06-21 00:00:00,200
TV,2018-06-22 00:00:00,206
TV,2018-06-23 00:00:00,585
TV,2018-06-24 00:00:00,339
TV,2018-06-25 00:00:00,241
TV,2018-06-26 00:00:00,172
TV,2018-06-27 00:00:00,145
TV,2018-06-28 00:00:00,122
TV,2018-06-29 00:00:00,114
TV,2018-06-30 00:00:00,125
TV,2018-07-01 00:00:00,127
TV,2018-07-02 00:00:00,152
TV,2018-07-03 00:00:00,182
TV,2018-07-04 00:00:00,194
TV,2018-07-05 00:00:00,110
TV,2018-07-06 00:00:00,183
TV,2018-07-07 00:00:00,330
TV,2018-07-08 00:00:00,378
TV,2018-07-09 00:00:00,190
TV,2018-07-10 00:00:00,425
TV,2018-07-11 00:00:00,235
TV,2018-07-12 00:00:00,155
